psi,rho_mean,rho_fit,rho_std
1.150000000000000000e+01,8.382275000000001253e-01,8.363528280424286088e-01,1.089755495271156789e-02
1.170000000000000107e+01,8.368599999999999373e-01,8.363449469880674947e-01,9.666771626774390419e-03
1.190000000000000036e+01,8.382975000000000287e-01,8.363421527709316017e-01,9.241674418233503455e-03
1.210000000000000142e+01,8.386124999999999829e-01,8.363348961778491741e-01,1.245913187606838106e-02
1.230000000000000071e+01,8.361399999999999944e-01,8.363173901309507441e-01,1.058829542466586081e-02
1.250000000000000000e+01,8.368275000000000574e-01,8.362879257832189772e-01,1.039642492955099654e-02
1.270000000000000107e+01,8.369400000000000173e-01,8.362416603514543079e-01,9.038377241402063486e-03
1.290000000000000036e+01,8.362999999999999323e-01,8.361664572347471402e-01,1.318967897937426727e-02
1.310000000000000142e+01,8.381874999999998632e-01,8.360419188883809749e-01,7.773485213752011000e-03
1.330000000000000071e+01,8.344324999999999104e-01,8.358361637997161475e-01,7.247182301818367624e-03
1.350000000000000000e+01,8.314874999999999350e-01,8.354974582174876652e-01,1.155381999941782964e-02
1.370000000000000107e+01,8.337849999999999984e-01,8.349403006224483947e-01,9.541903429223733829e-03
1.390000000000000036e+01,8.376350000000000184e-01,8.340240118551733861e-01,1.383992223129960029e-02
1.410000000000000142e+01,8.317925000000002678e-01,8.325186223141417541e-01,6.802791126093987555e-03
1.430000000000000071e+01,8.265124999999999833e-01,8.300501288929087451e-01,1.230271552180763235e-02
1.450000000000000000e+01,8.188050000000000050e-01,8.260148976790263609e-01,9.875833076119116746e-03
1.470000000000000107e+01,8.149474999999999358e-01,8.194515384651690493e-01,8.754900507415078192e-03
1.490000000000000036e+01,8.045649999999999746e-01,8.088627373196862758e-01,1.293717715081535262e-02
1.510000000000000142e+01,7.810224999999999529e-01,7.920021651872406476e-01,6.915095520137924494e-03
1.530000000000000071e+01,7.569649999999999990e-01,7.657077372595689768e-01,1.155139658906640006e-02
1.550000000000000000e+01,7.195050000000000612e-01,7.260025418523630147e-01,1.233066246566279049e-02
1.570000000000000107e+01,6.689150000000000373e-01,6.688745105997427887e-01,1.177630426344628348e-02
1.590000000000000036e+01,5.910275000000000389e-01,5.921430940494939454e-01,1.490232651388083071e-02
1.610000000000000142e+01,5.040874999999999106e-01,4.980792616728312305e-01,1.373603477411838164e-02
1.630000000000000071e+01,4.025775000000000325e-01,3.948705658952444963e-01,1.714036076356804592e-02
1.650000000000000000e+01,3.015400000000000302e-01,2.945372730904546876e-01,1.787896882697068493e-02
