psi,rho_mean,rho_fit
18.5,0.42095782409283555,0.42095782409283555
18.7,0.42020435091754443,0.42020435091754443
18.9,0.41938117615268755,0.41938117615268755
19.1,0.41848176048919133,0.41848176048919133
19.300000000000004,0.4174990689651716,0.4174990689651716
19.5,0.4164255465695616,0.4164255465695616
19.7,0.415253096539185,0.415253096539185
19.9,0.4139730624182825,0.4139730624182825
20.1,0.4125762151602935,0.4125762151602935
20.300000000000004,0.4110527467857456,0.4110527467857456
20.5,0.40939227236540365,0.40939227236540365
20.7,0.4075838423702895,0.4075838423702895
20.9,0.40561596771290676,0.40561596771290676
21.1,0.4034766600865657,0.4034766600865657
21.300000000000004,0.4011534904770954,0.4011534904770954
21.5,0.3986336689530401,0.3986336689530401
21.7,0.3959041490097485,0.3959041490097485
21.9,0.39295175981537783,0.39295175981537783
22.1,0.3897633696407019,0.3897633696407019
22.300000000000004,0.3863260834998062,0.3863260834998062
22.5,0.3826274775283398,0.3826274775283398
22.7,0.37865587181812516,0.37865587181812516
22.9,0.37440064224868413,0.37440064224868413
23.1,0.369852570249647,0.369852570249647
23.300000000000004,0.3650042273487125,0.3650042273487125
23.5,0.35985038878854764,0.35985038878854764
23.7,0.3543884674528287,0.3543884674528287
23.9,0.3486189559021309,0.3486189559021309
24.1,0.3425458606323213,0.3425458606323213
24.300000000000004,0.3361771089658142,0.3361771089658142
24.5,0.3295249055984888,0.3295249055984888
24.7,0.3226060131731337,0.3226060131731337
24.9,0.31544192982714153,0.31544192982714153
25.1,0.3080589369922346,0.3080589369922346
25.300000000000004,0.3004879932975266,0.3004879932975266
25.5,0.2927644556122168,0.2927644556122168
25.7,0.28492761620416696,0.28492761620416696
25.9,0.27702005550404957,0.27702005550404957
26.1,0.2690868224705361,0.2690868224705361
26.300000000000004,0.2611744680482989,0.2611744680482989
26.5,0.25332997033205806,0.25332997033205806
26.7,0.24559960121635854,0.24559960121635854
26.9,0.23802779195826704,0.23802779195826704
27.1,0.2306560579395021,0.2306560579395021
27.300000000000004,0.22352204027837938,0.22352204027837938
27.5,0.2166587138519662,0.2166587138519662
27.7,0.21009379858415128,0.21009379858415128
27.9,0.20384939505646152,0.20384939505646152
28.1,0.19794184854510205,0.19794184854510205
28.300000000000004,0.19238182949189214,0.19238182949189214
28.5,0.18717460491621474,0.18717460491621474
28.7,0.182320465569001,0.182320465569001
28.9,0.17781526824976324,0.17781526824976324
29.1,0.1736510515351289,0.1736510515351289
29.300000000000004,0.16981668556868512,0.16981668556868512
29.5,0.16629852158970915,0.16629852158970915
29.7,0.16308101348119652,0.16308101348119652
29.9,0.16014729081488666,0.16014729081488666
30.1,0.15747966986802958,0.15747966986802958
30.300000000000004,0.1550600953266072,0.1550600953266072
30.5,0.15287051055319265,0.15287051055319265
30.7,0.15089315826747352,0.15089315826747352
30.9,0.14911081629713038,0.14911081629713038
31.1,0.14750697483632855,0.14750697483632855
31.300000000000004,0.14606596257823187,0.14606596257823187
31.5,0.14477302936008574,0.14477302936008574
31.7,0.14361439275763702,0.14361439275763702
31.9,0.1425772555490297,0.1425772555490297
32.1,0.14164980026602847,0.14164980026602847
32.3,0.1408211662613924,0.1408211662613924
32.5,0.140081413916787,0.140081413916787
32.7,0.13942147984393052,0.13942147984393052
32.900000000000006,0.13883312622240662,0.13883312622240662
33.1,0.13830888678651926,0.13830888678651926
33.3,0.13784201142654426,0.13784201142654426
33.5,0.13742641090583138,0.13742641090583138
33.7,0.13705660280927995,0.13705660280927995
