psi,rho,rho_fit
2.445000000000000284e+01,7.245656250000023224e-01,7.225433948008437302e-01
2.455000000000000071e+01,7.236656250000020885e-01,7.214101778327413061e-01
2.465000000000000213e+01,7.228781250000025915e-01,7.200952127883278875e-01
2.475000000000000000e+01,7.199781250000027999e-01,7.185702114259784334e-01
2.485000000000000142e+01,7.169656250000022712e-01,7.168027823299343293e-01
2.495000000000000284e+01,7.128031250000023133e-01,7.147559402193119915e-01
2.505000000000000071e+01,7.131125000000028136e-01,7.123875939213054620e-01
2.515000000000000213e+01,7.085312500000026104e-01,7.096500273126122860e-01
2.525000000000000000e+01,7.082625000000024595e-01,7.064893944975561002e-01
2.535000000000000142e+01,7.046093750000024247e-01,7.028452593880236687e-01
2.545000000000000284e+01,6.972906250000021622e-01,6.986502208902715116e-01
2.555000000000000071e+01,6.941437500000025018e-01,6.938296781472612640e-01
2.565000000000000213e+01,6.895625000000026317e-01,6.883018055162311022e-01
2.575000000000000000e+01,6.782093750000024457e-01,6.819778235129376753e-01
2.585000000000000142e+01,6.738656250000025771e-01,6.747626684876013581e-01
2.595000000000000284e+01,6.648062500000021524e-01,6.665561780492781363e-01
2.605000000000000071e+01,6.539250000000023100e-01,6.572549177948571186e-01
2.615000000000000213e+01,6.468750000000025313e-01,6.467547729833442727e-01
2.625000000000000000e+01,6.324312500000023318e-01,6.349544104546488432e-01
2.635000000000000142e+01,6.162593750000017190e-01,6.217596746266792485e-01
2.645000000000000284e+01,6.054125000000021295e-01,6.070889105153898235e-01
2.655000000000000071e+01,5.885531250000021197e-01,5.908791024148767335e-01
2.665000000000000213e+01,5.674000000000019028e-01,5.730925801247086504e-01
2.675000000000000000e+01,5.501125000000017806e-01,5.537238844116847414e-01
2.685000000000000142e+01,5.314750000000016961e-01,5.328062192934928110e-01
2.695000000000000284e+01,5.079906250000018053e-01,5.104167814766960021e-01
2.705000000000000071e+01,4.841562500000015645e-01,4.866801859199950120e-01
2.715000000000000213e+01,4.622031250000017133e-01,4.617692408364020284e-01
2.725000000000000000e+01,4.362625000000015518e-01,4.359024942352660581e-01
2.735000000000000142e+01,4.116312500000010588e-01,4.093382815859483159e-01
2.745000000000000284e+01,3.850437500000011837e-01,3.823654200735757680e-01
2.755000000000000071e+01,3.591312500000012342e-01,3.552911534182231490e-01
2.765000000000000213e+01,3.330312500000010556e-01,3.284273626992036399e-01
2.775000000000000000e+01,3.080406250000010671e-01,3.020763325051090686e-01
2.785000000000000142e+01,2.813218750000008872e-01,2.765174336277266276e-01
2.795000000000000284e+01,2.563468750000008622e-01,2.519959360548639782e-01
2.805000000000000071e+01,2.328500000000006676e-01,2.287148346318371439e-01
2.815000000000000213e+01,2.098687500000007700e-01,2.068301309473697946e-01
2.825000000000000000e+01,1.892343750000006208e-01,1.864495620727692204e-01
2.835000000000000142e+01,1.695468750000006242e-01,1.676343831486105107e-01
2.845000000000000284e+01,1.502656250000004856e-01,1.504035504561294645e-01
2.855000000000000071e+01,1.343718750000004181e-01,1.347395320116659967e-01
2.865000000000000213e+01,1.177156250000003929e-01,1.205949795981994810e-01
2.875000000000000000e+01,1.045187500000004238e-01,1.078995953403799613e-01
2.885000000000000142e+01,9.256250000000029732e-02,9.656667673623015036e-02
2.895000000000000284e+01,8.200937500000028690e-02,8.649898973644193356e-02
2.905000000000000071e+01,7.149062500000022413e-02,7.759377307900172660e-02
2.915000000000000213e+01,6.396562500000019247e-02,6.974680300177987791e-02
2.925000000000000000e+01,5.659687500000019217e-02,6.285553982958852481e-02
2.935000000000000142e+01,5.169062500000017046e-02,5.682143787382348821e-02
2.945000000000000284e+01,4.662500000000018019e-02,5.155153266397705103e-02
2.955000000000000071e+01,4.178125000000014466e-02,4.695943136564351139e-02
2.965000000000000213e+01,3.777187500000013520e-02,4.296582986394636983e-02
2.975000000000000000e+01,3.509062500000012519e-02,3.949866897580583958e-02
2.985000000000000142e+01,3.245937500000010967e-02,3.649302687572514303e-02
2.995000000000000284e+01,3.018750000000008579e-02,3.389082807492960203e-02
3.005000000000000071e+01,2.787812500000008686e-02,3.164043309254183090e-02
3.015000000000000213e+01,2.680312500000008383e-02,2.969615837523714719e-02
3.025000000000000000e+01,2.545312500000008679e-02,2.801776354423030080e-02
3.035000000000000142e+01,2.463437500000008676e-02,2.656993277741304116e-02
3.045000000000000284e+01,2.405937500000007723e-02,2.532176894468463058e-02
3.055000000000000071e+01,2.281250000000006536e-02,2.424631276396821411e-02
3.065000000000000213e+01,2.209062500000006507e-02,2.332009444802390918e-02
3.075000000000000000e+01,2.183750000000006866e-02,2.252272178199304919e-02
3.085000000000000142e+01,2.120312500000007261e-02,2.183650604690445807e-02
3.095000000000000284e+01,2.127812500000007823e-02,2.124612545863463486e-02
3.105000000000000071e+01,2.120312500000006914e-02,2.073832463656100078e-02
3.115000000000000213e+01,2.044687500000007263e-02,2.030164789917332513e-02
3.125000000000000000e+01,2.054687500000007203e-02,1.992620378523368707e-02
3.135000000000000142e+01,2.045000000000006882e-02,1.960345802601182186e-02
3.145000000000000284e+01,1.995937500000007428e-02,1.932605217639565831e-02
3.155000000000000071e+01,2.029375000000006868e-02,1.908764519788647140e-02
3.165000000000000213e+01,1.988125000000007594e-02,1.888277543626981636e-02
3.175000000000000000e+01,1.991250000000006556e-02,1.870674062349497735e-02
3.185000000000000142e+01,1.980937500000007345e-02,1.855549373758286213e-02
3.195000000000000284e+01,1.986875000000008079e-02,1.842555276287038968e-02
3.204999999999999716e+01,1.999687500000006668e-02,1.831392259675651557e-02
3.215000000000000568e+01,1.964062500000006428e-02,1.821802754275508862e-02
3.225000000000000000e+01,2.019062500000008004e-02,1.813565300982628026e-02
3.235000000000000142e+01,1.936250000000006369e-02,1.806489520302689833e-02
3.245000000000000284e+01,1.949375000000006311e-02,1.800411773997662168e-02
3.254999999999999716e+01,1.990000000000008082e-02,1.795191426171238724e-02
3.265000000000000568e+01,1.962812500000007260e-02,1.790707622589765569e-02
3.275000000000000000e+01,1.925625000000006498e-02,1.786856517603768735e-02
3.285000000000000142e+01,1.927812500000006604e-02,1.783548887345187683e-02
3.295000000000000284e+01,1.951875000000006730e-02,1.780708076043790999e-02
3.304999999999999716e+01,1.937187500000006959e-02,1.778268229449236904e-02
3.315000000000000568e+01,1.979375000000006823e-02,1.776172775574508256e-02
3.325000000000000000e+01,1.895000000000006748e-02,1.774373118395938809e-02
3.335000000000000142e+01,1.921875000000006217e-02,1.772827514851443853e-02
3.345000000000000284e+01,1.939687500000007031e-02,1.771500109558321601e-02
3.354999999999999716e+01,1.925937500000006464e-02,1.770360105204127343e-02
3.365000000000000568e+01,1.975000000000006611e-02,1.769381049618379276e-02
3.375000000000000000e+01,1.908750000000006622e-02,1.768540223171294334e-02
3.385000000000000142e+01,1.918437500000006596e-02,1.767818112422708809e-02
3.395000000000000284e+01,1.913437500000007147e-02,1.767197957908756001e-02
3.404999999999999716e+01,1.875625000000007148e-02,1.766665365646497010e-02
3.415000000000000568e+01,1.849375000000007263e-02,1.766207973395322872e-02
3.425000000000000000e+01,1.889062500000006362e-02,1.765815163969741697e-02
3.435000000000000142e+01,1.910937500000007769e-02,1.765477818979288571e-02
3.445000000000000284e+01,1.908750000000006969e-02,1.765188107301440823e-02
3.454999999999999716e+01,1.901562500000007760e-02,1.764939303393686654e-02
3.465000000000000568e+01,1.849687500000007229e-02,1.764725631239205672e-02
3.475000000000000000e+01,1.880937500000006909e-02,1.764542130312174439e-02
3.485000000000000142e+01,1.883750000000005906e-02,1.764384540457891726e-02
