psi,rho_mean,rho_fit
8.15,0.5358343873478578,0.5358343873478578
8.25,0.5358245476658776,0.5358245476658776
8.350000000000001,0.5358108997619941,0.5358108997619941
8.449999999999998,0.5357963368726396,0.5357963368726396
8.55,0.5357785121648498,0.5357785121648498
8.65,0.5357598751942728,0.5357598751942728
8.75,0.5357382258160361,0.5357382258160361
8.850000000000001,0.535715908983665,0.535715908983665
8.949999999999998,0.5356910145845141,0.5356910145845141
9.05,0.5356658759794501,0.5356658759794501
9.15,0.5356397543942819,0.5356397543942819
9.25,0.5356135135102529,0.5356135135102529
9.35,0.5355867715710079,0.5355867715710079
9.45,0.5355599920801104,0.5355599920801104
9.55,0.5355330478355669,0.5355330478355669
9.650000000000002,0.5355061333992629,0.5355061333992629
9.75,0.5354793557465627,0.5354793557465627
9.85,0.535439440291283,0.535439440291283
9.95,0.535336386852732,0.535336386852732
10.05,0.5352469266931638,0.5352469266931638
10.150000000000002,0.5352259821519029,0.5352259821519029
10.25,0.5352051542723955,0.5352051542723955
10.35,0.5351849440861718,0.5351849440861718
10.45,0.5351648756311682,0.5351648756311682
10.55,0.5351455968215342,0.5351455968215342
10.650000000000002,0.5351264736807958,0.5351264736807958
10.75,0.5351082648711577,0.5351082648711577
10.85,0.5350902330961981,0.5350902330961981
10.95,0.5350732997894245,0.5350732997894245
11.05,0.5350567198092203,0.5350567198092203
11.150000000000002,0.535042461050401,0.535042461050401
11.25,0.5350285052631475,0.5350285052631475
11.35,0.5350166621976131,0.5350166621976131
11.45,0.5350050336412199,0.5350050336412199
11.55,0.5349949972864791,0.5349949972864791
11.650000000000002,0.5349851226513177,0.5349851226513177
11.75,0.5349765297041663,0.5349765297041663
11.85,0.5349680664166166,0.5349680664166166
11.95,0.534960704206637,0.534960704206637
12.05,0.5349534493049295,0.5349534493049295
12.150000000000002,0.5349471747279447,0.5349471747279447
12.25,0.534940987782855,0.534940987782855
12.35,0.5349356660035649,0.5349356660035649
12.45,0.5349304115036155,0.5349304115036155
12.55,0.5349258786075751,0.5349258786075751
12.650000000000002,0.5349213973818397,0.5349213973818397
12.75,0.5349175219079797,0.5349175219079797
12.85,0.5349136872255885,0.5349136872255885
12.95,0.5349103790377364,0.5349103790377364
13.05,0.5349071026535782,0.5349071026535782
13.150000000000002,0.5349042821223658,0.5349042821223658
13.25,0.5349014860160066,0.5349014860160066
13.35,0.5348990828008557,0.5348990828008557
13.45,0.5348966980024581,0.5348966980024581
